"OrigName","MainName","TeamID"
"ASV Köln","ASV Köln",1
"ASV Köln 1","ASV Köln",1
"ASV Köln 2","ASV Köln 2",2
"ATS Buntentor Knights","ATS Buntentor Knights",3
"Baltic Storms","Baltic Storms",4
"Baltic Storms 2","Baltic Storms II",5
"Baltic Storms II","Baltic Storms II",5
"BAT Berlin","Berlin Rockets",11
"BAT Berlin II","Berlin Rockets (Laikas Berlin)",12
"BAT Berlin III","BAT Berlin III",8
"BAT III Berlin","BAT Berlin III",8
"BAT U21 Berlin","Berlin Rockets (Young Rockets)",13
"Bautzen Bears","Bautzen Bears",10
"Berlin Rockets","Berlin Rockets",11
"Berlin Rockets (Laikas Berlin)","Berlin Rockets (Laikas Berlin)",12
"Berlin Rockets (Young Rockets)","Berlin Rockets (Young Rockets)",13
"Berliner FK","Berliner FK",14
"Black Lions Landsberg","Black Lions Landsberg",15
"Black Panthers Altenbochum","Black Panthers Altenbochum",16
"Black Panthers Altenbochum 1","Black Panthers Altenbochum",16
"Black Panthers Frisch-Auf Altenbochum","Black Panthers Altenbochum",16
"SG Black Panthers Altenbochum 1/2","Black Panthers Altenbochum",16
"TV Frisch-Auf Altenbochum","Black Panthers Altenbochum",16
"Black Panthers Altenbochum 2","Black Panthers Altenbochum 2",17
"Black Pitballs Sankt Wendel","Black Pitballs Sankt Wendel",18
"Black Pitballs Sankt. Wendel","Black Pitballs Sankt Wendel",18
"Blau-Weiß 96 Schenefeld","Blau-Weiß 96 Schenefeld",19
"BSV Roxel","BSV Roxel",20
"BSV Roxel I","BSV Roxel",20
"BSV Roxel 2","BSV Roxel 2",21
"BTG Teutonia Bielefeld","BTG Teutonia Bielefeld",22
"BW96 Schenefeld 2","BW96 Schenefeld II",23
"BW96 Schenefeld II","BW96 Schenefeld II",23
"DJK Giants Karlsruhe-Ost","DJK Giants Karlsruhe-Ost",24
"DJK Grün-Weiß Ennepetal","DJK Grün-Weiß Ennepetal",25
"DJK Holzbüttgen","DJK Holzbüttgen",26
"DJK Holzbüttgen 2","DJK Holzbüttgen 2",27
"DJK Holzbüttgen II","DJK Holzbüttgen 2",27
"DJK Holzbüttgen 3","DJK Holzbüttgen 3",28
"Donau Floorball Ingolstadt / Nordheim II","Donau Floorball Ingolstadt / Nordheim II",29
"Donau Floorball Ingolstadt/Nordheim II / Haunwöhr","Donau Floorball Ingolstadt/Nordheim II / Haunwöhr",30
"Donau-Floorball Ingolstadt/Nordheim","Donau-Floorball Ingolstadt/Nordheim",31
"SG Ingolstadt / Nordheim","Donau-Floorball Ingolstadt/Nordheim",31
"SG SV Nordheim-Ingolstadt","Donau-Floorball Ingolstadt/Nordheim",31
"Dümptener Füchse","Dümptener Füchse",32
"Dümptener Füchse 2","Dümptener Füchse 2",33
"Eisbären Juniors","Eisbären Juniors",34
"Elbfüchse Radebeul","Elbfüchse Radebeul",35
"ESV Ingolstadt Floorball","ESV Ingolstadt Schanzer Ducks",36
"ESV Ingolstadt Schanzer Ducks","ESV Ingolstadt Schanzer Ducks",36
"ESV Ingolstadt-Ringsee","ESV Ingolstadt-Ringsee",37
"ETV Piranhhas","ETV Piranhhas Hamburg",38
"ETV Piranhhas Hamburg","ETV Piranhhas Hamburg",38
"ETV Hamburg II","ETV Piranhhas II",39
"ETV PiranHHas 2","ETV Piranhhas II",39
"ETV Piranhhas 2","ETV Piranhhas II",39
"ETV Piranhhas Hamburg 2","ETV Piranhhas II",39
"ETV Piranhhas II","ETV Piranhhas II",39
"ETV PiranHHas 3","ETV Piranhhas III",40
"ETV Piranhhas Hamburg 3","ETV Piranhhas III",40
"ETV Piranhhas III","ETV Piranhhas III",40
"FBC Havel","FBC Havel",41
"FBC Heidelberg","FBC Heidelberg",42
"FBC Phönix Leipzig","FBC Phönix Leipzig",43
"FBC Potsdam","FBC Potsdam",44
"FC Rennsteig Avalanche","FC Rennsteig Avalanche",45
"FC Stern München","FC Stern München",46
"FC Stern München I","FC Stern München",46
"FC Stern München II","FC Stern München II",47
"Floor Fighters Chemnitz","Floor Fighters Chemnitz",48
"Floor Fighters Chemnitz II","Floor Fighters Chemnitz II",49
"Floor Fighters Chemnitz III","Floor Fighters Chemnitz III",50
"Floorball Bautzen","Floorball Bautzen",51
"Floorball Butzbach","Floorball Butzbach",52
"SV Floorball Butzbach 04 e.V.","Floorball Butzbach",52
"Floorball Club Heidelberg","Floorball Club Heidelberg",53
"Floorball Griedel","Floorball Griedel",54
"Floorball Grizzlys Salzwedel","Floorball Grizzlys Salzwedel",55
"Floorball Mainz","Floorball Mainz",56
"Floorball Mainz 1","Floorball Mainz",56
"Floorball Mannheim","Floorball Mannheim",57
"Floorball Nordost","Floorball Nordost",58
"SG Floorball Nordost","Floorball Nordost",58
"Floorball Team Charlottenburg","Floorball Team Charlottenburg",59
"Floorball Tigers Magdeburg","Floorball Tigers Magdeburg",60
"Floorball Tigers Magdeburg II","Floorball Tigers Magdeburg II",61
"Floorball Turtles Berlin","Floorball Turtles Berlin",62
"Floorball-Team Lausitzer Wölfe","Floorball-Team Lausitzer Wölfe",63
"Frankfurt Falcons","Frankfurt Falcons",64
"FTC Berlin-Siemensstadt","FTC Berlin-Siemensstadt",65
"Gettorf Seahawks","Gettorf Seahawks",66
"Gettorfer TV","Gettorf Seahawks",66
"Gettorfer TV 1","Gettorf Seahawks",66
"Gettorfer TV I","Gettorf Seahawks",66
"Giant Sharks Tübingen-Karlsruhe","Giant Sharks Tübingen-Karlsruhe",67
"Hannover 96","Hannover 96",68
"Hannover 96  I","Hannover 96",68
"Hannover 96 I","Hannover 96",68
"Hannover 96  II","Hannover 96 II",69
"Hannover 96 II","Hannover 96 II",69
"Hannover 96 III","Hannover 96 III",70
"Hannover Mustangs","Hannover Mustangs",71
"Hannover Mustangs II","Hannover Mustangs II",72
"Kieler Floorball Klub","Kieler Floorball Klub",73
"Kieler Floorball Klub 1","Kieler Floorball Klub",73
"Kieler Floorball Klub I","Kieler Floorball Klub",73
"Kieler Floorball Klub 2","Kieler Floorball Klub II",74
"Kieler Floorball Klub II","Kieler Floorball Klub II",74
"Laikas Berlin","Laikas Berlin",75
"Lilienthaler Wölfe","Lilienthaler Wölfe",76
"Lumberjacks Rohrdorf","Lumberjacks Rohrdorf",77
"Marburger Elche","Marburger Elche",78
"UC Marburger Elche","Marburger Elche",78
"MFBC Grimma (D)","MFBC Grimma (D)",79
"MFBC Leipzig","MFBC Leipzig",80
