"id","name","level"
601,"1. FBL",1
727,"1. FBL - Playoffs",1
728,"1. FBL - Playdowns",1
744,"Relegation 1. FBL / 2. FBL",12
603,"2. FBL Nord/West",2
604,"2. FBL Süd/Ost",2
729,"2. FBL - Playoffs",2
780,"1. FBL",1
782,"2. FBL Nord/West",2
783,"2. FBL Süd/Ost",2
944,"1. FBL",1
948,"2. FBL Ost",2
946,"2. FBL Nord/West",2
947,"2. FBL Süd/West",2
1189,"1. FBL Herren - Playoffs",1
1190,"1. FBL Herren - Playdowns",1
1044,"1. FBL Herren",1
1198,"Relegation 1. FBL Herren / 2. FBL",12
1156,"2. FBL - Playoffs",2
1046,"2. FBL Nord/West",2
1047,"2. FBL Ost",2
1048,"2. FBL Süd/West",2
1326,"1. FBL Herren - Playoffs",1
1330,"1. FBL Herren - Playdowns",1
1361,"Relegation 1. FBL Herren / 2. FBL Herren",12
1204,"1. FBL Herren",1
1329,"2. FBL Herren - Playoffs",2
1206,"2. FBL Herren Nord/West",2
1207,"2. FBL Herren Süd/West",2
1208,"2. FBL Herren Ost",2
1442,"1. FBL Herren",1
1513,"1. FBL Herren - Playoffs",1
1514,"1. FBL Herren - Playdowns",1
1549,"Relegation 1. FBL Herren / 2. FBL Herren",12
1444,"2. FBL Herren Nord/West",2
1445,"2. FBL Herren Süd/West",2
1446,"2. FBL Herren Ost",2
1518,"2. FBL Herren - Playoffs",2
319,"Play-Offs 1. FBL Herren",1
33,"Play-Down 1. FBL Herren",1
285,"Play-Offs 2. FBL Herren",2
118,"Relegation 1./2. FBL Herren",12
197,"1. FBL Herren",1
378,"2. FBL Nord/West",2
66,"2. FBL Süd/Ost",2
338,"Playoffs 1. FBL Herren",1
354,"Playdowns 1. FBL Herren",1
384,"Relegation 1. / 2. FBL Herren",12
257,"Playoffs 2. FBL Herren",2
267,"1. FBL Herren",1
398,"2. FBL Herren Nord/West",2
266,"2. FBL Herren Süd/Ost",2
292,"Playoffs 1. FBL",1
264,"Playdowns 1. FBL",1
394,"Playoffs 2. FBL",2
91,"Relegation 1. / 2. FBL",12
144,"1. FBL",1
279,"2. FBL Nord/West",2
427,"2. FBL Süd/Ost",2
562,"1. FBL - Playoffs",1
563,"1. FBL - Playdowns",1
583,"Relegation 1. FBL / 2. FBL",12
438,"1. FBL",1
549,"2. FBL - Playoffs",2
440,"2. FBL Nord/West",2
441,"2. FBL Süd/Ost",2
