"league_id","game_id","date","home_team_name","guest_team_name","home_goals","guest_goals","overtime","forfait"
267,3562,"2015-09-19","ETV Piranhhas Hamburg","SC DHfK Leipzig",10,4,"False","False"
267,1934,"2015-09-19","Red Hocks Kaufering","Red Devils Wernigerode",7,3,"False","False"
267,1556,"2015-09-20","USV Halle Saalebiber","BAT Berlin",2,8,"False","False"
267,6177,"2015-09-20","UHC Weißenfels","Floor Fighters Chemnitz",21,1,"False","False"
267,2335,"2015-09-20","MFBC Leipzig","TV Lilienthal",0,5,"False","True"
398,5538,"2015-09-26","Dragons Bonn","DJK Holzbüttgen",3,2,"False","False"
266,1578,"2015-09-26","UHC Döbeln 06","USV TU Dresden",5,3,"False","False"
398,8991,"2015-09-26","TSV Neuwittenbek","TV Eiche Horn Bremen",3,4,"False","False"
398,2951,"2015-09-26","Blau-Weiß 96 Schenefeld","Westfälischer Floorball Club",10,2,"False","False"
267,8297,"2015-09-26","TV Lilienthal","Red Hocks Kaufering",10,4,"False","False"
267,5465,"2015-09-27","BAT Berlin","ETV Piranhhas Hamburg",5,3,"False","False"
267,2942,"2015-09-27","Red Devils Wernigerode","UHC Weißenfels",0,0,"False","False"
267,142,"2015-09-27","Floor Fighters Chemnitz","USV Halle Saalebiber",11,5,"False","False"
267,6115,"2015-09-27","SC DHfK Leipzig","MFBC Leipzig",4,15,"False","False"
266,5523,"2015-09-27","TV 1883 Schriesheim","Unihockey Igels Dresden",12,3,"False","False"
266,4013,"2015-10-03","Floorball Tigers Magdeburg","UHC Döbeln 06",6,10,"False","False"
266,3167,"2015-10-03","PTSV United Lakers Konstanz","Black Lions Landsberg",8,7,"True","False"
267,5419,"2015-10-03","MFBC Leipzig","BAT Berlin",3,7,"False","False"
398,5550,"2015-10-03","Kieler Floorball Klub","TV Eiche Horn Bremen",2,11,"False","False"
398,3867,"2015-10-03","Dümptener Füchse","Dragons Bonn",3,2,"True","False"
267,6106,"2015-10-03","ETV Piranhhas Hamburg","Floor Fighters Chemnitz",6,5,"False","False"
266,3802,"2015-10-04","TV 1883 Schriesheim","Black Lions Landsberg",17,2,"False","False"
398,1812,"2015-10-04","Hannover 96","Blau-Weiß 96 Schenefeld",2,12,"False","False"
398,2496,"2015-10-04","Westfälischer Floorball Club","DJK Holzbüttgen",5,10,"False","False"
267,4846,"2015-10-04","UHC Weißenfels","USV Halle Saalebiber",17,4,"False","False"
267,1416,"2015-10-04","Red Hocks Kaufering","SC DHfK Leipzig",10,5,"False","False"
267,622,"2015-10-04","Red Devils Wernigerode","TV Lilienthal",8,9,"False","False"
398,5576,"2015-10-10","Blau-Weiß 96 Schenefeld","TV Eiche Horn Bremen",2,4,"False","False"
398,5036,"2015-10-10","Dümptener Füchse","Hannover 96",5,2,"False","False"
398,4502,"2015-10-10","Dragons Bonn","Kieler Floorball Klub",8,6,"False","False"
267,7627,"2015-10-10","Red Hocks Kaufering","BAT Berlin",7,4,"False","False"
267,7495,"2015-10-10","USV Halle Saalebiber","ETV Piranhhas Hamburg",6,5,"True","False"
266,6945,"2015-10-10","Unihockey Igels Dresden","PTSV United Lakers Konstanz",13,3,"False","False"
267,454,"2015-10-11","SC DHfK Leipzig","Red Devils Wernigerode",4,14,"False","False"
267,5472,"2015-10-11","Floor Fighters Chemnitz","MFBC Leipzig",10,6,"False","False"
267,6525,"2015-10-11","TV Lilienthal","UHC Weißenfels",5,15,"False","False"
266,6415,"2015-10-11","USV TU Dresden","PTSV United Lakers Konstanz",11,4,"False","False"
398,1877,"2015-10-11","DJK Holzbüttgen","Kieler Floorball Klub",7,4,"False","False"
398,3910,"2015-10-24","Dragons Bonn","TSV Neuwittenbek",4,3,"False","False"
267,6765,"2015-10-24","TV Lilienthal","SC DHfK Leipzig",14,2,"False","False"
267,1585,"2015-10-24","MFBC Leipzig","USV Halle Saalebiber",13,4,"False","False"
266,292,"2015-10-24","UHC Döbeln 06","Black Lions Landsberg",10,2,"False","False"
398,3946,"2015-10-24","TV Eiche Horn Bremen","Dümptener Füchse",8,3,"False","False"
398,3024,"2015-10-24","Kieler Floorball Klub","Blau-Weiß 96 Schenefeld",3,4,"False","False"
398,5200,"2015-10-25","Westfälischer Floorball Club","Hannover 96",14,1,"False","False"
267,4328,"2015-10-25","UHC Weißenfels","ETV Piranhhas Hamburg",17,0,"False","False"
267,4108,"2015-10-25","Red Devils Wernigerode","BAT Berlin",7,5,"False","False"
266,6573,"2015-10-25","Unihockey Igels Dresden","USV TU Dresden",4,6,"False","False"
398,4201,"2015-10-25","DJK Holzbüttgen","TSV Neuwittenbek",9,1,"False","False"
267,9071,"2015-10-25","Red Hocks Kaufering","Floor Fighters Chemnitz",6,4,"False","False"
398,2082,"2015-10-31","Blau-Weiß 96 Schenefeld","TSV Neuwittenbek",8,5,"False","False"
398,6046,"2015-10-31","DJK Holzbüttgen","Dümptener Füchse",5,3,"False","False"
266,6141,"2015-10-31","Unihockey Igels Dresden","Floorball Tigers Magdeburg",5,2,"False","False"
266,2096,"2015-10-31","TV 1883 Schriesheim","UHC Döbeln 06",14,4,"False","False"
