"OrigName","MainName","TeamID"
"Baltic Storms","Baltic Storms",1
"Kieler Floorball Klub","Baltic Storms",1
"BAT Berlin II","BAT Berlin II",2
"BAT Berlin","Berlin Rockets",3
"Berlin Rockets","Berlin Rockets",3
"Black Lions Landsberg","Black Lions Landsberg",4
"Blau-Weiß 96 Schenefeld","Blau-Weiß 96 Schenefeld",5
"BSV Roxel","BSV Roxel",6
"Westfälischer Floorball Club","BSV Roxel",6
"DJK Holzbüttgen","DJK Holzbüttgen",7
"Dümptener Füchse","Dümptener Füchse",8
"Donau-Floorball Ingolstadt/Nordheim","ESV Ingolstadt Schanzer Ducks",9
"ESV Ingolstadt Schanzer Ducks","ESV Ingolstadt Schanzer Ducks",9
"ETV Piranhhas Hamburg","ETV Piranhhas Hamburg",10
"ETV Piranhhas Hamburg II","ETV Piranhhas Hamburg II",11
"FBC Havel","FBC Havel",12
"FC Rennsteig Avalanche","FC Rennsteig Avalanche",13
"Floor Fighters Chemnitz","Floor Fighters Chemnitz",14
"Floorball Mainz","Floorball Mainz",15
"Floorball Tigers Magdeburg","Floorball Tigers Magdeburg",16
"FC Stern München","Floorball-Club München",17
"Floorball-Club München","Floorball-Club München",17
"Frankfurt Falcons","Frankfurt Falcons",18
"Gettorf Seahawks","Gettorf Seahawks",19
"Hannover 96","Hannover Mustangs",20
"Hannover Mustangs","Hannover Mustangs",20
"Lilienthaler Wölfe","Lilienthaler Wölfe",21
"TV Lilienthal","Lilienthaler Wölfe",21
"MFBC Leipzig","MFBC Leipzig",22
"MTV Mittelnkirchen","MTV Mittelnkirchen",23
"PSV 90 Dessau","PSV 90 Dessau",24
"PTSV United Lakers Konstanz","PTSV United Lakers Konstanz",25
"Red Devils Wernigerode","Red Devils Wernigerode",26
"SC DHfK Leipzig","SC DHfK Leipzig",27
"SCS Berlin","SCS Berlin",28
"Sportvg Feuerbach","Sportvg Feuerbach",29
"Dragons Bonn","SSF Dragons Bonn",30
"SSF Dragons Bonn","SSF Dragons Bonn",30
"TSG Erlensee","TSG Erlensee",31
"TSG Füchse Quedlinburg","TSG Füchse Quedlinburg",32
"TSV Calw Lions","TSV Calw Lions",33
"TSV Neuwittenbek","TSV Neuwittenbek",34
"TSV Tollwut Ebersgöns","TSV Tollwut Ebersgöns",35
"Tollwut Ebersgöns","TSV Tollwut Ebersgöns",35
"TV Eiche Horn Bremen","TV Eiche Horn Bremen",36
"TV 1883 Schriesheim","TV Schriesheim",37
"TV Schriesheim","TV Schriesheim",37
"UHC Döbeln 06","UHC Döbeln 06",38
"UHC Sparkasse Weißenfels","UHC Sparkasse Weißenfels",39
"UHC Weißenfels","UHC Sparkasse Weißenfels",39
"Unihockey Igels Dresden","Unihockey Igels Dresden",40
"USV Halle Saalebiber","USV Halle Saalebiber",41
"USV TU Dresden","USV TU Dresden",42
"Red Hocks Kaufering","VfL Red Hocks Kaufering",43
"VfL Red Hocks Kaufering","VfL Red Hocks Kaufering",43
