ID,Date,League,Team1,Team2,GT1,GT2,HGF,DGF
6598,2014-09-13,Regionalliga Nordwest (Herren GF),SG Hannover,TuS Bloherfelde,8,3,T,F
9383,2014-09-13,Regionalliga Nordwest (Herren GF),SG Seebergen/Lilienthal (GF),TV Lilienthal,3,4,T,F
7392,2014-09-14,Regionalliga Nordwest (Herren GF),STV Sedelsberg Hawks,SG Mittelnkirchen/Stade,3,2,T,F
5994,2014-09-14,Regionalliga Nordwest (Herren GF),TSV Lesum-Burgdamm,TB Uphusen Vikings,4,10,T,F
8956,2014-09-20,Stena Line FD-Pokal (Herren),FC Stern München,Floorball Butzbach,4,7,T,F
736,2014-09-20,1. FBL Herren,ETV Piranhhas,Floor Fighters Chemnitz,7,6,T,F
9379,2014-09-20,1. FBL Herren,TV Lilienthal,BAT Berlin,4,3,T,F
8711,2014-09-20,Stena Line FD-Pokal (Herren),UHC Döbeln 06,USV TU Dresden,4,6,T,F
5364,2014-09-21,RL Herren GF Staffel 2,SG PSV 90 Dessau / SV Rotta,Floorball Grizzlys Salzwedel,1,11,T,F
7219,2014-09-21,1. FBL Herren,Red Devils Wernigerode,SSF Dragons Bonn,8,6,T,F
1921,2014-09-21,RL Herren GF Staffel 2,Red Devils Wernigerode U23,FBC Phönix Leipzig,6,2,T,F
8002,2014-09-21,1. FBL Herren,MFBC Leipzig,Red Hocks Kaufering,8,5,T,F
2242,2014-09-21,1. FBL Herren,Unihockey Igels Dresden,UHC Weißenfels,7,10,T,F
8531,2014-09-21,Stena Line FD-Pokal (Herren),PTSV United Lakers Konstanz,Westfälischer Floorball Club,5,7,T,F
5935,2014-09-27,2. FBL Süd/Ost,Floorball Tigers Magdeburg,UHC Döbeln 06,0,9,T,F
5609,2014-09-27,Herren Großfeld Regionalliga Nord,ETV Hamburg II,SG Tetenbüll/Siems,7,10,T,F
795,2014-09-27,Regionalliga Nordwest (Herren GF),TB Uphusen Vikings,SG Seebergen/Lilienthal (GF),13,5,T,F
6390,2014-09-27,1. FBL Herren,BAT Berlin,MFBC Leipzig,8,7,T,F
6047,2014-09-27,1. FBL Herren,Red Hocks Kaufering,Unihockey Igels Dresden,7,4,T,F
1274,2014-09-27,2. FBL Süd/Ost,PTSV United Lakers Konstanz,SC DHfK Leipzig,3,10,T,F
8852,2014-09-27,Herren Großfeld Verbandsliga Nord,Kieler Floorball Klub II,BW96 Schenefeld II,1,3,T,F
7673,2014-09-27,2. FBL Nord/West,DJK Holzbüttgen,TV Eiche Horn Bremen,1,6,T,F
1952,2014-09-27,2. FBL Nord/West,Blau-Weiß 96 Schenefeld,Frankfurt Falcons,5,4,T,F
6479,2014-09-27,Regionalliga Nordwest (Herren GF),ATS Buntentor Knights,TSV Lesum-Burgdamm,10,5,T,F
4322,2014-09-27,Herren Großfeld Regionalliga Nord,Kieler Floorball Klub I,Gettorfer TV I,5,4,T,F
2700,2014-09-27,1. FBL Herren,UHC Weißenfels,Floor Fighters Chemnitz,10,4,T,F
2741,2014-09-27,1. FBL Herren,TV Lilienthal,Red Devils Wernigerode,4,6,T,F
6549,2014-09-27,Herren Großfeld Verbandsliga Nord,TSV Bordesholm,TSC Wellingsbüttel,8,4,T,F
6349,2014-09-28,1. FBL Herren,Red Hocks Kaufering,UHC Weißenfels,9,7,T,F
9181,2014-09-28,Regionalliga Nordwest (Herren GF),SG Mittelnkirchen/Stade,SG Hannover,3,11,T,F
1223,2014-09-28,Regionalliga Nordwest (Herren GF),TuS Bloherfelde,STV Sedelsberg Hawks,5,11,T,F
5434,2014-09-28,2. FBL Süd/Ost,TV Schriesheim,SC DHfK Leipzig,9,11,T,F
9360,2014-09-28,RL Herren GF Staffel 1,UV Zwigge 07,Partisan Connewitz,12,4,T,F
6731,2014-09-28,1. FBL Herren,Unihockey Igels Dresden,BAT Berlin,6,9,T,F
7021,2014-09-28,RL Herren GF Staffel 1,UHC Döbeln 06 II,Floor Fighters Chemnitz II,3,15,T,F
5026,2014-09-28,2. FBL Süd/Ost,USV Halle Saalebiber,UHC Döbeln 06,13,4,T,F
9412,2014-09-28,2. FBL Süd/Ost,USV TU Dresden,Black Lions Landsberg,6,3,T,F
3512,2014-09-28,2. FBL Nord/West,Westfälischer Floorball Club,Dümptener Füchse,3,4,T,F
1817,2014-09-28,2. FBL Nord/West,TSV Neuwittenbek,Frankfurt Falcons,10,5,T,F
7766,2014-09-28,1. FBL Herren,SSF Dragons Bonn,ETV Piranhhas,3,4,T,F
107,2014-10-03,1. FBL Herren,Floor Fighters Chemnitz,SSF Dragons Bonn,8,1,T,F
5038,2014-10-04,RL Herren GF Staffel 2,Floorball Grizzlys Salzwedel,UHC Sparkasse Weißenfels II,4,10,T,F
2200,2014-10-04,1. FBL Herren,MFBC Leipzig,SSF Dragons Bonn,4,7,T,F
854,2014-10-04,Herren Bayernliga,SV Haunwöhr,Lumberjacks Rohrdorf,0,14,T,F
4103,2014-10-04,1. FBL Herren,UHC Weißenfels,Red Devils Wernigerode,6,3,T,F
3565,2014-10-04,2. FBL Süd/Ost,Black Lions Landsberg,TV Schriesheim,5,9,T,F
1292,2014-10-04,2. FBL Süd/Ost,USV Halle Saalebiber,Floorball Tigers Magdeburg,6,4,T,F
6366,2014-10-04,Herren Bayernliga,SG SV Nordheim-Ingolstadt,SV Haunwöhr,5,4,T,F
2367,2014-10-04,2. FBL Nord/West,Floorball Butzbach,Westfälischer Floorball Club,2,3,T,F
6593,2014-10-04,Herren Bayernliga,NUT`s 04 Nürnberg,SG SV Nordheim-Ingolstadt,8,2,T,F
5783,2014-10-04,2. FBL Nord/West,TV Eiche Horn Bremen,Blau-Weiß 96 Schenefeld,10,1,T,F
113,2014-10-04,1. FBL Herren,Floor Fighters Chemnitz,TV Lilienthal,2,1,T,F
8561,2014-10-04,2. FBL Nord/West,Dümptener Füchse,DJK Holzbüttgen,8,2,T,F
28,2014-10-04,RL Herren GF Staffel 1,Unihockey Igels Dresden II,UHC Döbeln 06 II,5,4,T,F
5950,2014-10-04,1. FBL Herren,ETV Piranhhas,Unihockey Igels Dresden,7,8,T,F
2399,2014-10-04,RL Herren GF Staffel 2,USV Halle Saalebiber II,SG PSV 90 Dessau / SV Rotta,6,3,T,F
389,2014-10-04,Herren Bayernliga,Lumberjacks Rohrdorf,NUT`s 04 Nürnberg,9,4,T,F
4636,2014-10-04,RL Herren GF Staffel 1,UHC Sparkasse Weißenfels Damen,SG Heidenau/Graupa,2,3,T,F
1470,2014-10-05,1. FBL Herren,MFBC Leipzig,TV Lilienthal,4,3,T,F
4810,2014-10-05,1. FBL Herren,BAT Berlin,Red Hocks Kaufering,4,6,T,F
5278,2014-10-05,1. FBL Herren,Red Devils Wernigerode,ETV Piranhhas,9,4,T,F
7488,2014-10-05,2. FBL Nord/West,Frankfurt Falcons,Westfälischer Floorball Club,2,8,T,F
379,2014-10-05,2. FBL Süd/Ost,SC DHfK Leipzig,USV Halle Saalebiber,6,8,T,F
5939,2014-10-05,Regionalliga Nordwest (Herren GF),SG Hannover,TB Uphusen Vikings,12,8,T,F
8305,2014-10-11,2. FBL Nord/West,Floorball Butzbach,TV Eiche Horn Bremen,3,6,T,F
7552,2014-10-11,2. FBL Süd/Ost,Floorball Tigers Magdeburg,SC DHfK Leipzig,4,2,T,F
2995,2014-10-11,Regionalliga Süd (GF),SG Calw-Tübingen,PSV Wikinger München,1,3,T,F
535,2014-10-11,2. FBL Süd/Ost,UHC Döbeln 06,PTSV United Lakers Konstanz,11,4,T,F
8148,2014-10-11,Herren Großfeld Verbandsliga Nord,SG Gettorf/Barkelsby,Kieler Floorball Klub II,2,7,T,F
1169,2014-10-11,RL Herren GF Staffel 1,SG Heidenau/Graupa,UV Zwigge 07,3,7,T,F
6246,2014-10-11,1. FBL Herren,SSF Dragons Bonn,BAT Berlin,6,5,T,F
3832,2014-10-11,RL Herren GF Staffel 1,UHC Sparkasse Weißenfels Damen,Floor Fighters Chemnitz II,5,11,T,F
3489,2014-10-11,Regionalliga Süd (GF),PSV Wikinger München,Sportvg Feuerbach,4,2,T,F
463,2014-10-11,2. FBL Süd/Ost,TV Schriesheim,USV Halle Saalebiber,6,7,T,F
3929,2014-10-11,1. FBL Herren,Red Hocks Kaufering,Floor Fighters Chemnitz,6,3,T,F
6219,2014-10-11,Regionalliga Süd (GF),VfL Red Hocks Kaufering II,SG Calw-Tübingen,2,6,T,F
8439,2014-10-11,1. FBL Herren,ETV Piranhhas,MFBC Leipzig,1,5,T,F
7347,2014-10-11,Regionalliga Nordwest (Herren GF),STV Sedelsberg Hawks,TB Uphusen Vikings,10,5,T,F
7346,2014-10-11,1. FBL Herren,TV Lilienthal,UHC Weißenfels,3,10,T,F
7047,2014-10-11,Herren Großfeld Regionalliga Nord,Gettorfer TV I,PSV Flensburg,7,0,T,F
1801,2014-10-11,Herren Großfeld Regionalliga Nord,SG Kölln-Reisiek,SG Tetenbüll/Siems,2,8,T,F
7079,2014-10-11,Herren Großfeld Verbandsliga Nord,BW96 Schenefeld II,TSV Bordesholm,5,9,T,F
1883,2014-10-11,2. FBL Nord/West,Dümptener Füchse,TSV Neuwittenbek,4,4,T,F
4917,2014-10-11,Regionalliga Nordwest (Herren GF),SG Mittelnkirchen/Stade,TV Lilienthal,9,5,T,F
88,2014-10-11,Herren Großfeld Verbandsliga Nord,TSV Schwarzenbek,TSC Wellingsbüttel,7,5,T,F
5047,2014-10-11,Regionalliga Süd (GF),Sportvg Feuerbach,VfL Red Hocks Kaufering II,3,0,T,F
7286,2014-10-12,Regionalliga Süd (GF),Panther Regensburg,ESV Ingolstadt-Ringsee,2,8,T,F
4662,2014-10-12,Regionalliga Nordwest (Herren GF),TSV Lesum-Burgdamm,SG Seebergen/Lilienthal (GF),2,9,T,F
6033,2014-10-12,Regionalliga Süd (GF),SG Rohrdorf-Nürnberg,FC Stern München,7,1,T,F
8569,2014-10-12,2. FBL Süd/Ost,USV TU Dresden,PTSV United Lakers Konstanz,5,4,T,F
4852,2014-10-12,1. FBL Herren,Red Devils Wernigerode,Unihockey Igels Dresden,7,4,T,F
8198,2014-10-12,RL Herren GF Staffel 2,Red Devils Wernigerode U23,USV Halle Saalebiber II,6,1,T,F
4726,2014-10-12,Regionalliga Nordwest (Herren GF),SG Hannover,ATS Buntentor Knights,3,6,T,F
8799,2014-10-12,2. FBL Süd/Ost,SC DHfK Leipzig,UHC Döbeln 06,8,7,T,F
8319,2014-10-12,2. FBL Nord/West,DJK Holzbüttgen,Blau-Weiß 96 Schenefeld,7,2,T,F
6600,2014-10-12,RL Herren GF Staffel 2,MFBC Leipzig/Grimma,Floorball Grizzlys Salzwedel,7,3,T,F
4682,2014-10-12,Regionalliga Süd (GF),ESV Ingolstadt-Ringsee,SG Rohrdorf-Nürnberg,4,2,T,F
5355,2014-10-12,Regionalliga Süd (GF),FC Stern München,Panther Regensburg,6,3,T,F
8265,2014-10-12,2. FBL Nord/West,Westfälischer Floorball Club,TSV Neuwittenbek,7,6,T,F
4068,2014-10-18,Stena Line FD-Pokal (Herren),UHC Sparkasse Weißenfels II,Black Lions Landsberg,9,3,T,F
1441,2014-10-18,Stena Line FD-Pokal (Herren),Dümptener Füchse,Unihockey Igels Dresden,4,3,T,F
6863,2014-10-18,Stena Line FD-Pokal (Herren),SG Hannover,SG Calw-Tübingen,6,4,T,F
2497,2014-10-18,Herren Großfeld,Floorball Nordost,Floorball Team Charlottenburg,5,3,T,F
9164,2014-10-18,Stena Line FD-Pokal (Herren),UHC Weißenfels,Floorball Tigers Magdeburg,20,1,T,F
7696,2014-10-18,Stena Line FD-Pokal (Herren),USV Halle Saalebiber II,Red Devils Wernigerode,3,26,T,F
4183,2014-10-18,Stena Line FD-Pokal (Herren),SG Mittelnkirchen/Stade,Kieler Floorball Klub I,6,4,T,F
3469,2014-10-18,Stena Line FD-Pokal (Herren),SG Rohrdorf-Nürnberg,TV Schriesheim,4,8,T,F
384,2014-10-18,Stena Line FD-Pokal (Herren),UC Marburger Elche,Frankfurt Falcons,2,5,T,F
8594,2014-10-18,Stena Line FD-Pokal (Herren),BAT Berlin II,SG Seebergen/Lilienthal (GF),5,2,T,F
1778,2014-10-18,Stena Line FD-Pokal (Herren),PSV Wikinger München,Floorball Mainz,10,2,T,F
4316,2014-10-18,Stena Line FD-Pokal (Herren),TB Uphusen Vikings,TV Eiche Horn Bremen,3,14,T,F
7403,2014-10-18,Stena Line FD-Pokal (Herren),USV Halle Saalebiber,BAT Berlin,8,9,T,F
8773,2014-10-18,Stena Line FD-Pokal (Herren),Teutonia Bielefeld,USV TU Dresden,3,12,T,F
7791,2014-10-18,Stena Line FD-Pokal (Herren),ETV Hamburg II,TV Lilienthal,2,13,T,F
6843,2014-10-19,Stena Line FD-Pokal (Herren),MFBC Leipzig/Grimma,UV Zwigge 07,11,1,T,F
2008,2014-10-19,Stena Line FD-Pokal (Herren),TSV Neuwittenbek,Blau-Weiß 96 Schenefeld,5,2,T,F
2413,2014-10-19,Stena Line FD-Pokal (Herren),Red Devils Wernigerode U23,TSV Lesum-Burgdamm,9,4,T,F
320,2014-10-19,Stena Line FD-Pokal (Herren),SG Osnabrück-Paderborn,ATS Buntentor Knights,2,5,T,F
2166,2014-10-19,Stena Line FD-Pokal (Herren),Floor Fighters Chemnitz II,Floorball Butzbach,4,5,T,F
6804,2014-10-19,Stena Line FD-Pokal (Herren),MFBC Leipzig,Red Hocks Kaufering,9,6,T,F
6084,2014-10-19,Stena Line FD-Pokal (Herren),SC DHfK Leipzig,Westfälischer Floorball Club,13,5,T,F
533,2014-10-19,Stena Line FD-Pokal (Herren),SSC Hochdahl,DJK Holzbüttgen,1,5,T,F
5363,2014-10-19,Stena Line FD-Pokal (Herren),TSG Erlensee,SSF Dragons Bonn,7,15,T,F
2562,2014-10-19,Stena Line FD-Pokal (Herren),Gettorfer TV I,ETV Piranhhas,0,9,T,F
5179,2014-10-25,Westliga Herren Großfeld,UC Marburger Elche,Floorball Mainz,5,3,T,F
