,ID,Date,League,GT1,GT2,T1ID,T2ID
0,6598,2014-09-13,Regionalliga Nordwest (Herren GF),8,3,118,189
1,9383,2014-09-13,Regionalliga Nordwest (Herren GF),3,4,145,76
2,7392,2014-09-14,Regionalliga Nordwest (Herren GF),3,2,163,127
3,5994,2014-09-14,Regionalliga Nordwest (Herren GF),4,10,185,170
4,8956,2014-09-20,Stena Line FD-Pokal (Herren),4,7,46,52
5,736,2014-09-20,1. FBL Herren,7,6,38,48
6,9379,2014-09-20,1. FBL Herren,4,3,76,11
7,8711,2014-09-20,Stena Line FD-Pokal (Herren),4,6,200,213
8,5364,2014-09-21,RL Herren GF Staffel 2,1,11,136,55
9,7219,2014-09-21,1. FBL Herren,8,6,97,158
10,1921,2014-09-21,RL Herren GF Staffel 2,6,2,98,43
11,8002,2014-09-21,1. FBL Herren,8,5,80,217
12,2242,2014-09-21,1. FBL Herren,7,10,207,203
13,8531,2014-09-21,Stena Line FD-Pokal (Herren),5,7,209,221
14,5935,2014-09-27,2. FBL Süd/Ost,0,9,60,200
15,5609,2014-09-27,Herren Großfeld Regionalliga Nord,7,10,39,146
16,795,2014-09-27,Regionalliga Nordwest (Herren GF),13,5,170,145
17,6390,2014-09-27,1. FBL Herren,8,7,11,80
18,6047,2014-09-27,1. FBL Herren,7,4,217,207
19,1274,2014-09-27,2. FBL Süd/Ost,3,10,209,99
20,8852,2014-09-27,Herren Großfeld Verbandsliga Nord,1,3,74,23
21,7673,2014-09-27,2. FBL Nord/West,1,6,26,194
22,1952,2014-09-27,2. FBL Nord/West,5,4,19,64
23,6479,2014-09-27,Regionalliga Nordwest (Herren GF),10,5,3,185
24,4322,2014-09-27,Herren Großfeld Regionalliga Nord,5,4,73,66
25,2700,2014-09-27,1. FBL Herren,10,4,203,48
26,2741,2014-09-27,1. FBL Herren,4,6,76,97
27,6549,2014-09-27,Herren Großfeld Verbandsliga Nord,8,4,181,175
28,6349,2014-09-28,1. FBL Herren,9,7,217,203
29,9181,2014-09-28,Regionalliga Nordwest (Herren GF),3,11,127,118
30,1223,2014-09-28,Regionalliga Nordwest (Herren GF),5,11,189,163
31,5434,2014-09-28,2. FBL Süd/Ost,9,11,197,99
32,9360,2014-09-28,RL Herren GF Staffel 1,12,4,215,88
33,6731,2014-09-28,1. FBL Herren,6,9,207,11
34,7021,2014-09-28,RL Herren GF Staffel 1,3,15,201,49
35,5026,2014-09-28,2. FBL Süd/Ost,13,4,210,200
36,9412,2014-09-28,2. FBL Süd/Ost,6,3,213,15
37,3512,2014-09-28,2. FBL Nord/West,3,4,221,32
38,1817,2014-09-28,2. FBL Nord/West,10,5,186,64
39,7766,2014-09-28,1. FBL Herren,3,4,158,38
40,107,2014-10-03,1. FBL Herren,8,1,48,158
41,5038,2014-10-04,RL Herren GF Staffel 2,4,10,55,205
42,2200,2014-10-04,1. FBL Herren,4,7,80,158
43,854,2014-10-04,Herren Bayernliga,0,14,167,77
44,4103,2014-10-04,1. FBL Herren,6,3,203,97
45,3565,2014-10-04,2. FBL Süd/Ost,5,9,15,197
46,1292,2014-10-04,2. FBL Süd/Ost,6,4,210,60
47,6366,2014-10-04,Herren Bayernliga,5,4,31,167
48,2367,2014-10-04,2. FBL Nord/West,2,3,52,221
49,6593,2014-10-04,Herren Bayernliga,8,2,86,31
50,5783,2014-10-04,2. FBL Nord/West,10,1,194,19
51,113,2014-10-04,1. FBL Herren,2,1,48,76
52,8561,2014-10-04,2. FBL Nord/West,8,2,32,26
53,28,2014-10-04,RL Herren GF Staffel 1,5,4,208,201
54,5950,2014-10-04,1. FBL Herren,7,8,38,207
55,2399,2014-10-04,RL Herren GF Staffel 2,6,3,211,136
56,389,2014-10-04,Herren Bayernliga,9,4,77,86
57,4636,2014-10-04,RL Herren GF Staffel 1,2,3,204,121
58,1470,2014-10-05,1. FBL Herren,4,3,80,76
59,4810,2014-10-05,1. FBL Herren,4,6,11,217
60,5278,2014-10-05,1. FBL Herren,9,4,97,38
61,7488,2014-10-05,2. FBL Nord/West,2,8,64,221
62,379,2014-10-05,2. FBL Süd/Ost,6,8,99,210
63,5939,2014-10-05,Regionalliga Nordwest (Herren GF),12,8,118,170
64,8305,2014-10-11,2. FBL Nord/West,3,6,52,194
65,7552,2014-10-11,2. FBL Süd/Ost,4,2,60,99
66,2995,2014-10-11,Regionalliga Süd (GF),1,3,112,95
67,535,2014-10-11,2. FBL Süd/Ost,11,4,200,209
68,8148,2014-10-11,Herren Großfeld Verbandsliga Nord,2,7,117,74
69,1169,2014-10-11,RL Herren GF Staffel 1,3,7,121,215
70,6246,2014-10-11,1. FBL Herren,6,5,158,11
71,3832,2014-10-11,RL Herren GF Staffel 1,5,11,204,49
72,3489,2014-10-11,Regionalliga Süd (GF),4,2,95,155
73,463,2014-10-11,2. FBL Süd/Ost,6,7,197,210
74,3929,2014-10-11,1. FBL Herren,6,3,217,48
75,6219,2014-10-11,Regionalliga Süd (GF),2,6,219,112
76,8439,2014-10-11,1. FBL Herren,1,5,38,80
77,7347,2014-10-11,Regionalliga Nordwest (Herren GF),10,5,163,170
78,7346,2014-10-11,1. FBL Herren,3,10,76,203
79,7047,2014-10-11,Herren Großfeld Regionalliga Nord,7,0,66,93
80,1801,2014-10-11,Herren Großfeld Regionalliga Nord,2,8,124,146
81,7079,2014-10-11,Herren Großfeld Verbandsliga Nord,5,9,23,181
82,1883,2014-10-11,2. FBL Nord/West,4,4,32,186
83,4917,2014-10-11,Regionalliga Nordwest (Herren GF),9,5,127,76
84,88,2014-10-11,Herren Großfeld Verbandsliga Nord,7,5,187,175
85,5047,2014-10-11,Regionalliga Süd (GF),3,0,155,219
86,7286,2014-10-12,Regionalliga Süd (GF),2,8,87,37
87,4662,2014-10-12,Regionalliga Nordwest (Herren GF),2,9,185,145
88,6033,2014-10-12,Regionalliga Süd (GF),7,1,139,46
89,8569,2014-10-12,2. FBL Süd/Ost,5,4,213,209
90,4852,2014-10-12,1. FBL Herren,7,4,97,207
91,8198,2014-10-12,RL Herren GF Staffel 2,6,1,98,211
92,4726,2014-10-12,Regionalliga Nordwest (Herren GF),3,6,118,3
93,8799,2014-10-12,2. FBL Süd/Ost,8,7,99,200
94,8319,2014-10-12,2. FBL Nord/West,7,2,26,19
95,6600,2014-10-12,RL Herren GF Staffel 2,7,3,81,55
96,4682,2014-10-12,Regionalliga Süd (GF),4,2,37,139
97,5355,2014-10-12,Regionalliga Süd (GF),6,3,46,87
98,8265,2014-10-12,2. FBL Nord/West,7,6,221,186
99,4068,2014-10-18,Stena Line FD-Pokal (Herren),9,3,205,15
100,1441,2014-10-18,Stena Line FD-Pokal (Herren),4,3,32,207
101,6863,2014-10-18,Stena Line FD-Pokal (Herren),6,4,118,112
102,2497,2014-10-18,Herren Großfeld,5,3,58,59
103,9164,2014-10-18,Stena Line FD-Pokal (Herren),20,1,203,60
104,7696,2014-10-18,Stena Line FD-Pokal (Herren),3,26,211,97
105,4183,2014-10-18,Stena Line FD-Pokal (Herren),6,4,127,73
106,3469,2014-10-18,Stena Line FD-Pokal (Herren),4,8,139,197
107,384,2014-10-18,Stena Line FD-Pokal (Herren),2,5,78,64
108,8594,2014-10-18,Stena Line FD-Pokal (Herren),5,2,12,145
109,1778,2014-10-18,Stena Line FD-Pokal (Herren),10,2,95,56
110,4316,2014-10-18,Stena Line FD-Pokal (Herren),3,14,170,194
111,7403,2014-10-18,Stena Line FD-Pokal (Herren),8,9,210,11
112,8773,2014-10-18,Stena Line FD-Pokal (Herren),3,12,171,213
113,7791,2014-10-18,Stena Line FD-Pokal (Herren),2,13,39,76
114,6843,2014-10-19,Stena Line FD-Pokal (Herren),11,1,81,215
115,2008,2014-10-19,Stena Line FD-Pokal (Herren),5,2,186,19
116,2413,2014-10-19,Stena Line FD-Pokal (Herren),9,4,98,185
117,320,2014-10-19,Stena Line FD-Pokal (Herren),2,5,131,3
118,2166,2014-10-19,Stena Line FD-Pokal (Herren),4,5,49,52
119,6804,2014-10-19,Stena Line FD-Pokal (Herren),9,6,80,217
120,6084,2014-10-19,Stena Line FD-Pokal (Herren),13,5,99,221
121,533,2014-10-19,Stena Line FD-Pokal (Herren),1,5,157,26
122,5363,2014-10-19,Stena Line FD-Pokal (Herren),7,15,176,158
