MainName,TeamID
ASV Köln,1
ASV Köln 2,2
ATS Buntentor Knights,3
Baltic Storms,4
Baltic Storms II,5
Berlin Rockets,11
Berlin Rockets (Laikas Berlin),12
BAT Berlin III,8
Berlin Rockets (Young Rockets),13
Bautzen Bears,10
Berliner FK,14
Black Lions Landsberg,15
Black Panthers Altenbochum,16
Black Panthers Altenbochum 2,17
Black Pitballs Sankt Wendel,18
Blau-Weiß 96 Schenefeld,19
BSV Roxel,20
BSV Roxel 2,21
BTG Teutonia Bielefeld,22
BW96 Schenefeld II,23
DJK Giants Karlsruhe-Ost,24
DJK Grün-Weiß Ennepetal,25
DJK Holzbüttgen,26
DJK Holzbüttgen 2,27
DJK Holzbüttgen 3,28
Donau Floorball Ingolstadt / Nordheim II,29
Donau Floorball Ingolstadt/Nordheim II / Haunwöhr,30
Donau-Floorball Ingolstadt/Nordheim,31
Dümptener Füchse,32
Dümptener Füchse 2,33
Eisbären Juniors,34
Elbfüchse Radebeul,35
ESV Ingolstadt Schanzer Ducks,36
ESV Ingolstadt-Ringsee,37
ETV Piranhhas Hamburg,38
ETV Piranhhas II,39
ETV Piranhhas III,40
FBC Havel,41
FBC Heidelberg,42
FBC Phönix Leipzig,43
FBC Potsdam,44
FC Rennsteig Avalanche,45
FC Stern München,46
FC Stern München II,47
Floor Fighters Chemnitz,48
Floor Fighters Chemnitz II,49
Floor Fighters Chemnitz III,50
Floorball Bautzen,51
Floorball Butzbach,52
Floorball Club Heidelberg,53
Floorball Griedel,54
Floorball Grizzlys Salzwedel,55
Floorball Mainz,56
Floorball Mannheim,57
Floorball Nordost,58
Floorball Team Charlottenburg,59
Floorball Tigers Magdeburg,60
Floorball Tigers Magdeburg II,61
Floorball Turtles Berlin,62
Floorball-Team Lausitzer Wölfe,63
Frankfurt Falcons,64
FTC Berlin-Siemensstadt,65
Gettorf Seahawks,66
Giant Sharks Tübingen-Karlsruhe,67
Hannover 96,68
Hannover 96 II,69
Hannover 96 III,70
Hannover Mustangs,71
Hannover Mustangs II,72
Kieler Floorball Klub,73
Kieler Floorball Klub II,74
Laikas Berlin,75
Lilienthaler Wölfe,76
Lumberjacks Rohrdorf,77
Marburger Elche,78
MFBC Grimma (D),79
MFBC Leipzig,80
MFBC Leipzig/Grimma,81
MFBC Leipzig/Schkeuditz,82
MFBC Schkeuditz,82
MFBC Schkeuditz/Leipzig,83
MTV 1846 Gießen,84
MTV Mittelnkirchen,85
Nut´s 04 Nürnberg,86
Panther Regensburg,87
Partisan Connewitz,88
Phönix Leipzig,89
PSV 90 Dessau,90
PSV 90 Dessau II,91
PSV Aachen,92
PSV Flensburg,93
PSV Flensburg 2,94
PSV Wikinger München,95
United Lakers Konstanz,209
Red Devils Wernigerode,97
Red Devils Wernigerode U23,98
SC DHfK Leipzig,99
SC DHfK Leipzig II,100
SC Itzehoe,101
SC Itzehoe II,102
SC Potsdam,103
SC Weende Göttingen,104
SCS Berlin,105
Seabulls,106
SG Bloherfelde/Nordenham,107
SG Bloherfelde/Sedelsberg,108
SG Bonn/Refrath,109
SG Bordesholm/Preetz,110
SG Bordesholm/Preetz/Gaarden,111
SG Calw-Tübingen,112
SG Donau Floorball Ingolstadt II / Haunwöhr,113
SG ETV Piranhhas II,114
SG Floorball Rhein-Neckar,115
SG FTC+ Berlin,116
SG Gettorf / Barkelsby,117
SG Hannover,118
SG Harzgerode/Großörner,119
SG Heidelberg Mannheim,120
SG Heidenau/Graupa,121
SG Hochdahl-Aachen,122
SG Kiel/Neuwittenbek,123
SG Kölln-Reisiek,124
SG Kölln-Reisiek/Brunsbüttel,125
SG Mellensee/Rangsdorf,126
SG Mittelnkirchen/Stade,127
SG Nordenham/Wahnbek,128
SG Nordheim / Augsburg,129
SG Oldenburg/Nordenham,130
SG Osnabrück-Paderborn,131
SG Osnabrück/Bielefeld,132
SG Osnabrück/Dinklage,133
SG Potsdam,134
SG Potsdam/Mellensee,135
SG PSV 90 Dessau / SV Rotta,136
SG PSV München / Stern München II,137
SG Regenbogen West-Berlin,138
SG Rohrdorf / Nürnberg,139
SG Roxel-Steinfurt,140
SG Schenefeld/Kölln-Reisiek,141
SG Schriesheim-Mannheim,142
SG Schwarzenbek/Glinde,143
SG SCS Berlin/Eisbären Juniors,144
SG Seebergen/Lilienthal,145
SG Tetenbüll/Siems,146
SG Tetenbüll/Siems/Wyk,147
SG TSV Bordesholm / Preetzer TSV,148
SG TSV Bordesholm / Preetzer TSV / Gettorfer TV,149
SG TSV Schwarzenbek / TSV Glinde,150
SG TSV Tetenbüll / SV Hemmingstedt,151
SG UHC Berlin/VfL Tegel,152
SG Wyk/Husum,153
Sportvg Feuerbach,155
Sportvg Feuerbach 2,156
SSC Hochdahl,157
SSF Dragons Bonn,158
SSF Dragons Bonn 2,159
SSF Dragons Bonn Damen,160
SSV Heidenau,161
SSV Rapid,162
STV Sedelsberg Hawks,163
SuS Flensburg,164
SV 03 Tübingen Sharks,165
SV Espenau Rangers,166
SV Haunwöhr,167
SVE Hamburg,168
TB Burgsteinfurt 1862,169
TB Uphusen Vikings,170
Teutonia Bielefeld,171
TG Lauenburg,172
TG Teutonia Bielefeld,173
Tollwut Ebersgöns,174
TSC Wellingsbüttel,175
TSG Erlensee,176
TSG Füchse Quedlinburg,178
TSG Füchse Quedlinburg II,179
TSV Bordesholm,181
TSV Bordesholm II,182
TSV Calw Lions,183
TSV Hochdahl,184
TSV Lesum-Burgdamm,185
TSV Neuwittenbek,186
TSV Schwarzenbek,187
TuRa Meldorf,188
TuS Bloherfelde,189
TuS Gaarden Kiel,190
TV 1883 Schriesheim,191
TV Augsburg,192
TV Dinklage,193
TV Eiche Horn Bremen,194
TV Eiche Horn Bremen II,195
TV Schriesheim,197
UC Braunschweig,198
UHC Berlin,199
UHC Döbeln 06,200
UHC Döbeln 06 II,201
UHC Elster,202
UHC Sparkasse Weißenfels,203
UHC Sparkasse Weißenfels (D),204
UHC Sparkasse Weißenfels II,205
Unihockey Igels Dresden,207
Unihockey Igels Dresden II,208
USV Halle Saalebiber,210
USV Halle Saalebiber II,211
USV Jena,212
USV TU Dresden,213
USV TU Dresden II,214
UV Zwigge 07,215
VBC Olympia 72 Ludwigshafen,216
VfL Red Hocks Kaufering,217
VfL Red Hocks Kaufering II,219
VfL Tegel,220
Westfälischer Floorball Club,221
Young Rockets,222
MFBC Leipzig/Schkeuditz/Grimma,223
SCS Berlin Floorball Nation,224
SG Gießen/Marburg,225
SG Mainz/St.Wendel,226
SG TSV Bordesholm / TuS Gaarden,227
TSG Erlensee 2,228
