,Vorname,Nachname,Liga,Saison,Team,Spiele,Tore,Vorlagen,Punkte,Strafminuten,Tore pro Spiel,Vorlagen pro Spiel,Punkte pro Spiel,Strafminuten pro Spiel
1515,Gesa,Agsten,Platzierungsrunde Ost U11 Junioren Kleinfeld,21/22,UHC Sparkasse Weißenfels,5,2,1,3,0,0.4,0.2,0.6,0.0
1516,Gesa,Agsten,Vorrunde Regionalliga Ost U13 Junioren Kleinfeld St. 1,22/23,UHC Sparkasse Weißenfels,2,2,1,3,0,1.0,0.5,1.5,0.0
1517,Gesa,Agsten,Meisterrunde Regionalliga Ost U11 Junioren Kleinfeld,22/23,UHC Sparkasse Weißenfels,14,3,3,6,0,0.21428571428571427,0.21428571428571427,0.42857142857142855,0.0
1518,Gesa,Agsten,Vorrunde Regionalliga Ost U11 Junioren Kleinfeld St. 3,22/23,UHC Sparkasse Weißenfels,4,2,0,2,2,0.5,0.0,0.5,0.5
1519,Gesa,Agsten,U15 Juniorinnen Kleinfeld Regionalliga Ost,23/24,SG Saalemädels,1,0,0,0,0,0.0,0.0,0.0,0.0
1520,Gesa,Agsten,U13 Junioren Regionalliga Ost,23/24,UHC Sparkasse Weißenfels,6,1,0,1,0,0.16666666666666666,0.0,0.16666666666666666,0.0
1521,Gesa,Agsten,U13 Junioren Kleinfeld Meisterrunde Ost,23/24,UHC Sparkasse Weißenfels,3,0,0,0,0,0.0,0.0,0.0,0.0
1522,Gesa,Agsten,U13 Junioren Kleinfeld Regionalliga Ost St. 1,23/24,UHC Sparkasse Weißenfels,3,1,1,2,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
1523,Gesa,Agsten,,Total,,38,11,6,17,2,0.2894736842105263,0.15789473684210525,0.4473684210526316,0.05263157894736842
1036,Lisa-Marija,Ahrens,FD-Pokal Damen,22/23,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
1037,Lisa-Marija,Ahrens,Playoffs Regionalliga Ost Damen Kleinfeld,22/23,USV Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
1038,Lisa-Marija,Ahrens,Regionalliga Ost Damen Kleinfeld,22/23,USV Jena,11,0,0,0,0,0.0,0.0,0.0,0.0
1039,Lisa-Marija,Ahrens,FD-Pokal Damen,23/24,USV Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
1040,Lisa-Marija,Ahrens,Damen Kleinfeld Regionalliga Ost,23/24,USV Jena,10,0,0,0,0,0.0,0.0,0.0,0.0
1041,Lisa-Marija,Ahrens,,Total,,25,0,0,0,0,0.0,0.0,0.0,0.0
771,Finja,Appenroth,Regionalliga Ost U11 Junioren Kleintor,19/20,Floorball Pinguine Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
772,Finja,Appenroth,,Total,,2,0,0,0,0,0.0,0.0,0.0,0.0
383,Jonas,Appenroth,Playdowns Regionalliga Ost U13 Junioren Kleinfeld,18/19,Floorball Pinguine Jena,2,2,0,2,0,1.0,0.0,1.0,0.0
384,Jonas,Appenroth,Regionalliga Ost U13 Junioren Kleinfeld St. 1,18/19,Floorball Pinguine Jena,11,1,2,3,0,0.09090909090909091,0.18181818181818182,0.2727272727272727,0.0
385,Jonas,Appenroth,Regionalliga Ost U15 Junioren Kleinfeld St. 2,19/20,Floorball Pinguine Jena,8,2,2,4,0,0.25,0.25,0.5,0.0
386,Jonas,Appenroth,Regionalliga Ost U15 Junioren,20/21,Floorball Pinguine Jena,2,0,0,0,2,0.0,0.0,0.0,1.0
387,Jonas,Appenroth,Regionalliga Ost U15 Junioren,21/22,Floorball Pinguine Jena,4,1,0,1,0,0.25,0.0,0.25,0.0
388,Jonas,Appenroth,Regionalliga Ost U17 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,2,0,1,1,0,0.0,0.5,0.5,0.0
389,Jonas,Appenroth,,Total,,29,6,5,11,2,0.20689655172413793,0.1724137931034483,0.3793103448275862,0.06896551724137931
1247,Klara,Bachmann,Regionalliga Ost U13 Junioren,20/21,USV Halle Saalebiber,1,0,0,0,0,0.0,0.0,0.0,0.0
1248,Klara,Bachmann,Regionalliga Ost U13 Junioren Kleinfeld St. 2,20/21,USV Halle Saalebiber,2,0,0,0,0,0.0,0.0,0.0,0.0
1249,Klara,Bachmann,U15 Juniorinnen Kleinfeld Deutsche Meisterschaft,21/22,SG Weißenfels/Jena,4,0,0,0,0,0.0,0.0,0.0,0.0
1250,Klara,Bachmann,Regionalliga Ost Damen Kleinfeld,21/22,SG Halle/Landsberg,4,0,0,0,0,0.0,0.0,0.0,0.0
1251,Klara,Bachmann,Regionalliga Ost U15 Junioren,21/22,USV Halle Saalebiber,8,0,0,0,0,0.0,0.0,0.0,0.0
1252,Klara,Bachmann,Regionalliga Ost U15 Juniorinnen Kleinfeld,21/22,SG Weißenfels/Jena,4,0,1,1,0,0.0,0.25,0.25,0.0
1253,Klara,Bachmann,Playoffs Regionalliga Ost U13 Junioren Kleinfeld,21/22,USV Halle Saalebiber,2,0,0,0,0,0.0,0.0,0.0,0.0
1254,Klara,Bachmann,Regionalliga Ost U13 Junioren Kleinfeld St. 2,21/22,USV Halle Saalebiber,3,0,0,0,0,0.0,0.0,0.0,0.0
1255,Klara,Bachmann,U17-Trophy Juniorinnen (Sommer),22/23,Team Sachsen-Anhalt,2,0,0,0,0,0.0,0.0,0.0,0.0
1256,Klara,Bachmann,U17 Juniorinnen Kleinfeld Deutsche Meisterschaft,22/23,SG Saalemädels,4,0,0,0,0,0.0,0.0,0.0,0.0
1257,Klara,Bachmann,Regionalliga Ost U17 Juniorinnen Kleinfeld,22/23,SG Saalemädels,4,0,0,0,0,0.0,0.0,0.0,0.0
1258,Klara,Bachmann,Regionalliga Ost U15 Junioren,22/23,USV Halle Saalebiber,11,0,0,0,0,0.0,0.0,0.0,0.0
1259,Klara,Bachmann,Deutsche Meisterschaft U17 Juniorinnen Kleinfeld,23/24,SG Saalemädels,4,0,0,0,0,0.0,0.0,0.0,0.0
1260,Klara,Bachmann,U17 Juniorinnen Trophy,23/24,Team Sachsen-Anhalt,4,0,0,0,0,0.0,0.0,0.0,0.0
1261,Klara,Bachmann,U17 Juniorinnen Kleinfeld Regionalliga Ost Playoffs,23/24,SG Saalemädels,2,0,0,0,0,0.0,0.0,0.0,0.0
1262,Klara,Bachmann,U17 Juniorinnen Kleinfeld Regionalliga Ost,23/24,SG Saalemädels,10,0,1,1,0,0.0,0.1,0.1,0.0
1263,Klara,Bachmann,U17 Junioren Kleinfeld Regionalliga Ost,23/24,USV Halle Saalebiber,4,0,0,0,0,0.0,0.0,0.0,0.0
1264,Klara,Bachmann,U15 Junioren DM Quali,23/24,USV Halle Saalebiber,1,0,0,0,0,0.0,0.0,0.0,0.0
1265,Klara,Bachmann,U15 Junioren Regionalliga Ost Playoffs,23/24,USV Halle Saalebiber,2,0,0,0,0,0.0,0.0,0.0,0.0
1266,Klara,Bachmann,U15 Junioren Regionalliga Ost,23/24,USV Halle Saalebiber,10,0,0,0,0,0.0,0.0,0.0,0.0
1267,Klara,Bachmann,U15 Juniorinnen Kleinfeld Regionalliga Ost,23/24,SG Saalemädels,7,0,1,1,0,0.0,0.14285714285714285,0.14285714285714285,0.0
1268,Klara,Bachmann,,Total,,93,0,3,3,0,0.0,0.03225806451612903,0.03225806451612903,0.0
1426,Heinz,Bahr,Platzierungsrunde Regionalliga Ost U11 Junioren Kleinfeld,22/23,Floorball Pinguine Jena,8,0,0,0,0,0.0,0.0,0.0,0.0
1427,Heinz,Bahr,Vorrunde Regionalliga Ost U11 Junioren Kleinfeld St. 2,22/23,Floorball Pinguine Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
1428,Heinz,Bahr,U11 Junioren Kleinfeld Platzierungsrunde Ost,23/24,Floorball Pinguine Jena,15,0,1,1,0,0.0,0.06666666666666667,0.06666666666666667,0.0
1429,Heinz,Bahr,U11 Junioren Kleinfeld Regionalliga Ost St. 2,23/24,Floorball Pinguine Jena,1,0,0,0,0,0.0,0.0,0.0,0.0
1430,Heinz,Bahr,,Total,,26,0,1,1,0,0.0,0.038461538461538464,0.038461538461538464,0.0
1384,Antonia,Banger,Playoffs Regionalliga Ost Damen Kleinfeld,22/23,USV Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
1385,Antonia,Banger,Regionalliga Ost Damen Kleinfeld,22/23,USV Jena,6,0,0,0,0,0.0,0.0,0.0,0.0
1386,Antonia,Banger,,Total,,8,0,0,0,0,0.0,0.0,0.0,0.0
1218,Effi Johanna,Bauer,Playdowns RL U11 Kleintor,17/18,USV Halle Saalebiber,3,1,1,2,0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0
1219,Effi Johanna,Bauer,Regionalliga U11 Junioren Kleintor St. 1,17/18,USV Halle Saalebiber,12,4,1,5,0,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.0
1193,Effi Johanna,Bauer,Playoffs Regionalliga Ost U11 Junioren Kleintor,18/19,USV Halle Saalebiber I,3,2,1,3,0,0.6666666666666666,0.3333333333333333,1.0,0.0
1194,Effi Johanna,Bauer,Regionalliga Ost U11 Junioren Kleintor St. 1,18/19,USV Halle Saalebiber I,14,15,6,21,0,1.0714285714285714,0.42857142857142855,1.5,0.0
1195,Effi Johanna,Bauer,Regionalliga Ost U13 Junioren Kleinfeld St. 2,19/20,USV Halle Saalebiber,6,2,0,2,0,0.3333333333333333,0.0,0.3333333333333333,0.0
1196,Effi Johanna,Bauer,Regionalliga Ost U11 Junioren Kleinfeld Meisterrunde,19/20,USV Halle Saalebiber I,6,13,4,17,0,2.1666666666666665,0.6666666666666666,2.8333333333333335,0.0
1197,Effi Johanna,Bauer,Regionalliga Ost U11 Junioren Kleinfeld Vorrunde St. 1,19/20,USV Halle Saalebiber I,6,8,10,18,0,1.3333333333333333,1.6666666666666667,3.0,0.0
1198,Effi Johanna,Bauer,Regionalliga Ost U13 Junioren,20/21,USV Halle Saalebiber,4,2,2,4,0,0.5,0.5,1.0,0.0
1199,Effi Johanna,Bauer,Regionalliga Ost U13 Junioren Kleinfeld St. 2,20/21,USV Halle Saalebiber,2,2,0,2,0,1.0,0.0,1.0,0.0
1200,Effi Johanna,Bauer,U15 Juniorinnen Kleinfeld Deutsche Meisterschaft,21/22,SG Weißenfels/Jena,4,3,0,3,0,0.75,0.0,0.75,0.0
1201,Effi Johanna,Bauer,Regionalliga Ost U15 Junioren,21/22,USV Halle Saalebiber,13,3,2,5,0,0.23076923076923078,0.15384615384615385,0.38461538461538464,0.0
1202,Effi Johanna,Bauer,Regionalliga Ost U15 Juniorinnen Kleinfeld,21/22,SG Weißenfels/Jena,2,0,0,0,0,0.0,0.0,0.0,0.0
1203,Effi Johanna,Bauer,Playoffs Regionalliga Ost U13 Junioren Kleinfeld,21/22,USV Halle Saalebiber,2,0,0,0,0,0.0,0.0,0.0,0.0
1204,Effi Johanna,Bauer,Regionalliga Ost U13 Junioren Kleinfeld St. 2,21/22,USV Halle Saalebiber,3,1,0,1,0,0.3333333333333333,0.0,0.3333333333333333,0.0
1205,Effi Johanna,Bauer,U17-Trophy Juniorinnen (Sommer),22/23,Team Sachsen-Anhalt,4,0,0,0,0,0.0,0.0,0.0,0.0
1206,Effi Johanna,Bauer,U17 Juniorinnen Kleinfeld Deutsche Meisterschaft,22/23,SG Saalemädels,4,0,0,0,0,0.0,0.0,0.0,0.0
1207,Effi Johanna,Bauer,Regionalliga Ost U17 Juniorinnen Kleinfeld,22/23,SG Saalemädels,4,2,1,3,0,0.5,0.25,0.75,0.0
1208,Effi Johanna,Bauer,Regionalliga Ost U15 Junioren,22/23,USV Halle Saalebiber,11,7,3,10,4,0.6363636363636364,0.2727272727272727,0.9090909090909091,0.36363636363636365
1209,Effi Johanna,Bauer,Deutsche Meisterschaft U17 Juniorinnen Kleinfeld,23/24,SG Saalemädels,4,3,1,4,0,0.75,0.25,1.0,0.0
1210,Effi Johanna,Bauer,Deutsche Meisterschaft U15 Junioren,23/24,USV Halle Saalebiber,3,0,0,0,0,0.0,0.0,0.0,0.0
1211,Effi Johanna,Bauer,U17 Juniorinnen Kleinfeld Regionalliga Ost Playoffs,23/24,SG Saalemädels,2,1,3,4,0,0.5,1.5,2.0,0.0
1212,Effi Johanna,Bauer,U17 Juniorinnen Kleinfeld Regionalliga Ost,23/24,SG Saalemädels,10,6,6,12,2,0.6,0.6,1.2,0.2
1213,Effi Johanna,Bauer,U17 Junioren Kleinfeld Regionalliga Ost,23/24,USV Halle Saalebiber,2,1,0,1,0,0.5,0.0,0.5,0.0
1214,Effi Johanna,Bauer,U15 Junioren DM Quali,23/24,USV Halle Saalebiber,1,0,0,0,0,0.0,0.0,0.0,0.0
1215,Effi Johanna,Bauer,U15 Junioren Regionalliga Ost Playoffs,23/24,USV Halle Saalebiber,2,0,0,0,2,0.0,0.0,0.0,1.0
